set	id	turn1	turn2	turn3	turn4	turn5	turn6
test	chain2_2090_1116_1182_1084_82_891	Do you like vegetables?	No, not really. But I do like fried okra.	Last I heard that was a vegetable.	Yeah, but when you fry it it's awesome.	It may be awesome but frying it basically takes all of the vegetable out of it!	I eat for taste..it tastes great..
test	chain2_468_622_333_616_1066_925	How much did that cost?	About three fifty.	Wow, that is a good deal.	You're telling me, it was quite a steal.	Where did you get it?	I bought it online through Amazon.
test	chain2_1644_971_1217_89_133_304	How is school going?	It's going well!	Have you made a lot of new friends?	No, everyone hates me.	What makes you think everyone hates you?	They keep saying I hate you when they pass me in the hallway.
test	chain3_325_290_207_7_5_5	What kind of flowers do you prefer?	I like orchids, remember!	Oh I thought you liked lilacs, weird.	Why would you think that?	I could have sworn I head you say it once	Come to think of it, I might have said that quite a while back.
test	chain2_678_81_917_750_228_712	Do you have any suggestions?	Wear less makeup	I don't think that is very constructive.	Sorry, you asked my opinion.	What other suggestions do you have?	Well, if you didn't like the makeup tip then you won't like this either, but your pants make your butt look big too.
test	chain2_85_1443_933_850_65_238	Can you try that one more time?	yes but its the last time	Why? If you loved me you would try, try, again.	Maybe we aren't right for each other anymore.	Well screw you then.	Excuse me. You have no right to speak to me like that. If you are willing to let go this easily instead of working out our issue then maybe you are right, maybe we just aren't meant for each other.
test	chain2_1622_296_853_408_368_598	What is the weather today?	IT'S SUNNY AND HOT.	What will it be like tomorrow?	Tomorrow will be rainy, which makes me really sad!	Why sad? I love the rain!	i was planning for a ride.
test	chain2_1958_482_347_686_214_415	Will you pour me some water?	Absolutely, I'd love to do that for you.	Thanks, while you are at it, fix me a sandwich too.	Any thing else your highness?	Not right now... but I'm sure I'll think of something later.	Well, please don't hesitate to ring the bell if you do...
test	chain2_548_1152_822_135_31_886	Will you be visiting me again tomorrow?	For the last time, Princess, no. The dragon will keep you company.	The dragon sucks at poker, though.	Come on, it's great at Backgammon!	Yeah but he insists we play poker..	Well ask the Ogre to play.
test	chain2_122_1013_275_323_298_906	Where are you man?	I'm on the bus.	Where are you heading?	I'm going to Reno.	Why in the world are you going to Reno??	the question is why are you not going to Reno?
test	chain2_691_554_687_501_89_1110	Can you inform Sarah and ask her to visit me?	I will ask her to visit you.	I need you to inform her also, don't forget about it.	I won't forget, don't worry.	Ok, please don't and I just need to say inform again, it's my word of the day.	Thank you for informing me.
test	chain2_54_1207_121_803_928_322	Wehn is your birthday?	It's October 15th.	What are you going to do to celebrate?	I'm having a quiet dinner at home with my daughter and my mom.	That sounds wonderful. Do you want to go out that weekend and the rest of us can help you celebrate?	well i am not sure
test	chain2_458_688_506_1225_247_609	Really, then why not shorten them?	I assume you're talking about those pants I bought. I guess I probably should, right?	Right, that way you won't be tripping on them.	True, or I could wear really high heels.	Or you could just wear them with normal shoes and eventually the part that's too long will dissentigrate.	Ha! I guess that's true, but it takes too long.
test	chain2_882_276_1213_69_600_759	Have you seen him today?	No I saw no sign of him.	I have a message for him and I don't know when he will be back.	Ok, well put a note on his desk then.	Okay, I'll tape it to his computer screen.	I am sure he will be in shortly, he's rarely ever this late.
test	chain2_1718_33_247_205_677_685	This is heavy, carry it for me?	It's going to be heavy for me to, I don't think I can.	Why don't you grab one side and I'll grab the other.	Perfect! Teamwork will make carrying it easier.	I see your workplace must have motivational posters hanging around.	Yeah, you know, productivity and shit.
test	chain3_171_362_322_230_43_74	What's the weather going to be tomorrow?	Sunny at morning, but rainy at night	Perfect, I love nighttime storms.	I would like them more if they didnt scare my dog.	Just get a different dog then.	A dog isn't like a blender.
test	chain2_942_455_1004_24_119_698	How long until the game starts?	I think it'll be another half hour	Great. I think it'll be a good game today.	I think so too with everything that has been going on with the team lately.	I hope Suarez recovers soon, they still need him.	he will be available from next game.
test	chain2_1777_353_1266_317_315_406	What kind of breakfast foods do you like?	I really like french toast or danish.	I'm not too hot on that, personally.	Well what breakfast foods do you prefer?	I prefer bacon and eggs.	Okay, let's have omelettes then, I like bacon and eggs as well.
test	chain2_1076_73_735_756_136_92	How is school going?	Going good.  I'm getting straight A's	Great!  We are so proud of you!	Thanks, I just have to keep it up now.	When do you graduate?	Later on in June of next year.
test	chain2_888_773_852_406_924_605	Can you mail this for me?	Yes, do you have a stamp?	I'm sorry, but I don't have one.	Well, do you have fifty cents?	Let me go check in my bag.	Give me as soon as you find..
test	chain3_158_338_281_158_295_184	Are you going in to work today?	I'm not going in today.	I feel sick.	Sorry to hear that. I'm not going in today just because I need a break. Julian is really starting to piss me off.	I hope you get fired.	You hope I get fired because of Julian?
test	chain2_1791_364_218_87_146_23	How are you doing?	I'm doing okay. A little tired, but otherwise fine.	Oh no, why are you feeling tired?	I have had trouble sleeping lately due to leg cramps.	Make sure to hydrate properly and get exercise.	I've heard eating bananas and drinking milk helps too, because of the potassium and calcium.
test	chain2_985_83_732_740_186_186	Are you cooking tonight?	Yes every night this week.	Do you love cooking?	At times I do.	Cooking is not my favorite thing. Eating, however...	well let you known what you want to eat tonight?
test	chain2_1898_452_278_334_168_932	When will you be leaving?	I'll leave in about half and hour.	Are you sure that's enough time to get through security?	Yes, it's enough time.	I hope you're right, you can't miss your flight!	Don't worry so much, I will make it.
test	chain2_739_87_1269_330_687_865	Could you pick up some groceries at the store?	Of cause. I'll do it on my way home from work	Awesome!  Please get some milk and water.	Sparkling or plain water?	Plain, and grab just half a gallon of milk, I don't want it going bad.	we can put it in refrigerator
test	chain2_1980_804_696_548_342_90	Is Stacy coming this weekend?	No Next weekend	I am so excited to see her, I can't wait!	I think she has dyed her hair purple.	Well, that sounds like Stacy.	She is always doing unique stuff isn't she!
test	chain3_43_140_283_163_303_203	Who taught you that?	I learned it from my Grandma when I was a little girl.	Aww. That's sweet. All mine taught me was that whiskey cures a cold.	Well that is a useful thing to know as well.  Would you like me to knit anything for you though when I'm done this project?	Maybe some mitts, I'm pretty prone to getting colds.	Sure thing.  It'll be fun.
test	chain2_82_510_860_451_447_847	Can I have a glass of water?	Yes, you can grab it yourself. Cups are in the cabinet to the right.	Thank-you so much.	The ice maker in the fridge is broken, though.	All right, no problem.	I WISH MY HUSBAND WOULD FIX IT ALREADY, BUT YOU KNOW WHAT THEY SAY ABOUT CONTRACTORS AND THE PROJECTS IN THEIR OWN HOME....THEY NEVER GET DONE.
test	chain2_346_227_1197_1139_1089_166	Do you want to take a study break?	Sure, I could use some coffee	Great, let's go to the coffee shop on Main Street.	Can we stop by the corner store too? I would like to get a sandwich as well.	Sure, food sounds good.	So, let's go
test	chain2_2008_1368_581_1299_632_793	Do you know anybody?	Yes lots of people	How many of them are not white?	That's a pretty mean allegation.	Well you didn't answer the question.	I have a wide array of friends.
test	chain2_1563_26_583_1301_1023_266	Can I see that?	Yes, I'll send it to you once I get home.	I'll be waiting for your reply.	It may be a while. I am about three hours from home right now.	I had no idea!	Spur of the moment romantic weekend planned by my amazing husband.  It was worth every single penny we spent.
test	chain2_336_286_1108_678_26_318	What are you making for dinner?	I'm making spaghetti with meat balls	Great! I'll bring over some garlic bread.	Could you bring a salad too?	Sure I would be glad to.	I have soda. If you want beer you can bring that too.
test	chain2_386_1092_1156_940_731_141	Where is the remote?	I don't know, I've been looking for it. I hope it didn't accidentally get thrown away.	Why would you say that? Did you accidentally throw it away?	If it was accidental how would I know?	Yes, good point.	Did you check in the couch cushions?
test	chain2_642_548_228_129_255_375	Can I have an extra pillow?	Yes, here it is.	Thank you very much. Sleep well!	Don't forget you're making breakfast in the morning.	What would you like me to make?	I would love some eggs and bacon, and definitely coffee!
test	chain3_127_283_195_374_300_197	Would you like something to drink?	A big glass of cold water would be great.	Coming right up!	Thank you, I'm really thirsty!	Would you like something to eat also?  I have some delicious cookies.	Cookies sound perfect, but do you have milk?
test	chain2_284_835_219_91_1062_298	Where is you car?	I LEFT IT AT HOME AND RODE WITH A FRIEND.	I see, can I get a ride with them too?	Yeah sure, come right in.	Thanks! Taking a taxi would've cost me an arm and a leg!	Are you sure she will cool with one more passenger?
test	chain2_43_213_254_231_132_804	How is mutton prepared here?	We prepare it with white wine and onions.	Oh!  That sounds amazing!  I can't wait to try some!	It's awesome, you'll love it!	I sure hope so.	What is mutton?
test	chain2_1918_1052_1071_467_919_347	Do you own any pets?	I have a dog, Millie, and two cats, Pickles and Bobo.	Did I ask you for their names?	No, but I told you anyways.	Yes, you sure did. Couldn't help yourself, could you?	OK what crawled up your butt this morning?
test	chain2_1107_634_779_971_694_915	Are Sam and Sarah still together?	I don't know!	I thought they were going to break up soon.	Could be, I haven't heard.	I saw Sam with Heather the other day.	Did he say anything?
test	chain2_1447_798_531_1250_469_550	What date is the luncheon?	If I remember correctly, the email said Friday the 23rd.	Yea, I can't make it as I have to sleep in that day.	You are lazy.	No I am not!	Admit it. You can't stand Ralph.
test	chain2_1116_1299_851_402_203_160	I haven't see you in ages, is everything ok?	Everything is great!	Really? What's been happening?	I just got a new job and a new house!	That's great news. Do you want to meet up soon?	I would love to! How does next weekend sound?
test	chain2_513_1411_1022_113_366_388	Can you come visit me soon?	Of course, I'll try to do it before the end of the week.	Great!  I'm looking forward to your visit!	Me too, I cant wait to see you!	Shall I bring a few marital aids with me?	Sure, you can bring whatever you want.
test	chain2_382_137_136_893_10_737	What is the problem officer?	You were speeding.	I was?  I never drive on this road and wasn't sure what the speed limit was.	You were 10mph over the speed limit.	Sorry, I didn't see any posted speed limit signs.	I will let you off with a warning this time, but please don't let it happen again.
test	chain2_1016_396_94_532_380_136	What did he say?	I'M NOT SURE, I COULDN'T HEAR HIM.	Yeah, the music was pretty loud!	I had  trouble  hearing anyone .	I can barely hear you!	Maybe you should get your hearing checked.
test	chain3_214_26_54_110_208_20	WHERE DO YOU WORK?	I work at McDonald's.  It's nothing great, but it's also NOTHING TO SHOUT ABOUT.	Sorry, I thought you couldn't hear.	That's ok.  How about you, where do you work?	I work at Burger King. I like the work, but it is tiring. How do you like your boss?	He's an ass.
test	chain2_818_1201_162_1009_502_617	Where are you my love?	I'm on my way to you.	How far away are you?	Stuck in traffic on the 405. I'll be a little late.	Don't forget we're having dinner with the Rattigans tonight.	you sure thats  tonight ?
test	chain2_863_93_1397_994_831_997	Did you feed the cat?	I tried to give her some scraps but she wouldn't eat.	Why dont you give her her food rather than scraps?	I couldn't find it.	It's in the cabinet, where it usually is.	Yeah, no, I looked and there wasn't any, we must be out.  I will run to the store.
test	chain3_410_18_38_78_142_235	Do you like onion pie?	Eww, gross!  No i don not.	That's rude! That recipe is from my great grandmother who gave it to me as a secret family recipe on her death bed!	Sorry, speech impediment. I mean to say I love onion pie.	Hopefully it won't kill you like it did Grandma.	Wow... now I don't know.
test	chain2_1544_1398_1161_960_803_429	What does this mean?	I'M NOT SURE.	Why are you yelling at me?	Sorry, I have a cold so I didn't realize.	All good. What is your best guess at the translation?	I have no clue.
test	chain2_934_473_169_1038_708_574	What are your plans for Saturday?	I think I am going to hang out with some friends.	Can I come with?	Sure, they'd love to meet you. How do you feel about sushi?	I'm not crazy about it, but if that's what everyone else wants, that's fine.	We can go somewhere else I guess
test	chain2_727_1240_210_46_209_1043	Is my message easy to understand?	Maybe. In Picasso world. By which I mean no. No, it is not. It's bizarre and, frankly, disturbing. More therapy, Sarah. More therapy.	I AM JUST TRYING TO PORTRAY IN AN ARTISTIC WAY, WHAT I AM THINKING.	Yea well, I think you're crazy Sarah.	YEAH, WELL MAYBE I AM CRAZY. CRAZY I TELL YOU.	Crazy is good. Sometimes.
test	chain2_1950_341_87_484_359_380	Can I go to the gym tonight?	Did you do your homework?	I finished it during study hall.	Then yes you can go to the gym. Have a good work out!	Thanks! I'm going to try out the new equipment tonight.	Don't work out too much, I don't want you to end up looking better than me.
test	chain3_270_167_339_259_90_160	What kind of books do you prefer?	The kind with pictures.  How about you?	I prefer short novels.	What's the last good book you read?	I can't remember the name off the top of my head, but I'll let you know when I get home.	That sounds like a plan!
test	chain2_1989_1117_864_470_106_135	May I see a menu?	Our menus are on the table along wall, please help yourself.	What would you recommend?	I would recommend the steamed snails with ginger.	My gosh, how exotic.	We also have Alligator sauteed with our house special sauce. A true hit for the adventurous type.
test	chain2_281_7_135_889_11_652	Could you please call the electric company for me?	Sure, what is their number?	The number is in the address book next to the phone.	Is the address book the blue leather book?	No, it is the little black book under the phone.	OK, I'll get the number and make the call.
test	chain2_383_20_611_73_941_542	What's your favorite type of animal?	I prefer dogs.	Dogs are mine favorite too, they are so loyal.	So much better than cats in my opinon.	Except tigers. Tigers are amazing.	They are so majestic.
test	chain2_561_1277_496_1216_402_189	Why haven't you been to the store yet?	l took a nap.	Could you try and go before the store closes?	Yes, sure. I'm sorry.	It's ok but we really need diapers and milk.	I'll go in a minute.
test	chain3_294_216_35_73_133_224	Did you see the trailer for suicide squad?	Yes I can't wait for it to come out in theaters.	Should we go together to see it?	Why don't we get a group together?	Ok.  I'll text everyone and see who wants to go with us.	This is going to be awesome.
test	chain2_792_1339_55_327_398_435	Could you please put a movie on the television for me?	Okay, anything in particular you want to watch?	I really like 1940s melodramas.	Are you sure? I really can't stand that type of film.	I am sure. They are easy to ignore while I am studying.	How about if I just read the dictionary in a monotone voice, it's just as boring as your movie choice.
test	chain2_368_706_356_723_967_593	What made you so tired?	I ONLY SLEPT 3 HOURS LAST NIGHT.	Why, didn't you sleep well last night?	My husband kept snoring.	Does he snore often?	Yes he is like a buzz saw.
test	chain3_93_231_85_165_307_212	Shall we have lunch now ?	Yes please. I'm starving!	Me too, I have been waiting for this all day.	Sorry, you could have called me earlier if you were hungry!	I didn't want to bother you!	I'm bothered now because im hungry!
test	chain2_583_1512_817_115_755_73	Whose car is that?	It's my Uncle's car.	It's a really nice old car.	You like old cars hey? Me too.My favorite is the old Beattle.	Yes, that's a classic.	My Uncle buys cars at the wrecker and fixes them up. He's been looking for a Beattle for me, but they're hard to come by.
test	chain2_835_1307_891_639_567_287	Have you seen our dog?	No, I'm sorry. I haven't seen your dog but I will keep an eye out for it.	Thank-you so much!  He is my baby.	Maybe we should make some flyers and put a lost ad on craigslist.	Sounds like a great idea.	Do you want me to make a flyer for you?
test	chain2_1345_1355_807_66_387_778	Where is the shoe department?	Next to the hoisery department	Thanks!  This store is so large!	Yes, but that means there's so many more things to look at and buy.	I know! Maybe I'll get a new dress to go with my new shoes.	Let me know if you need any help.
test	chain2_732_1515_1273_346_238_42	Could you please change the TV channel to the news?	Okay, where's the remote? Oh, here it is.	What do you think about this story?	I THINK IT SOUNDS TOO DRAMATIC.	Oh, well if that's what you think.	You did ask what I thought.
test	chain3_230_70_141_276_122_209	Do you want to go biking tomorrow?	If I can borrow your pump for my tires.	Sure, if I can find it. I think I may have lent it to George and never got it back.	That sounds like George.	I'll call him and see if he still has it.	Okay, cool. Thanks.
test	chain2_1782_253_436_1109_949_629	Where are you from?	Fort Worth, TX	How long have you lived there?	About twenty years.	Wow! what part of the city do you live in?	I'm actually just below Fort Worth, by Waco.
test	chain3_187_394_380_335_228_59	Do you like fluffy dogs?	Of course I do. Who doesn't?	That's probably true.	Is this your way of hinting that you are getting me a puppy for my birthday?	No. Would you like one?	Yes! I would love a pomeranian!
test	chain2_455_240_899_672_714_1045	Sure, when do you want me to mail?	as soon as possible	I can mail it for you tomorrow.	That's good, thanks.	Is there anything else you need me to do while I'm out?	No, that will be all thanks.
test	chain2_2135_1137_449_1174_1171_1098	Hi there, how are you?	I'm good, how are you?	I've been better.	Oh no! What's the trouble?	I just lost my job.	I'm sorry to hear that! What happened?
test	chain2_1617_1055_315_531_1154_71	I'm hungry, want to go grab a bite to eat?	Yes, I'm starving!	Cool! Let's go to KFC!	Does the KFC here have a buffet?	No, no one would ever leave if they did.	Can you imagine trying to kick everyone out at closing time?
test	chain2_341_817_1089_567_1017_621	Do you like going fishing?	Yes it is very relaxing.	What do you try to catch?	Whatever's biting and if nothing bites that's OK too.	Let's go fishing this weekend.	Sure, sounds great.
test	chain2_1689_1447_653_337_1008_33	Where are we going?	Didn't you say you wanted to go back to that restaurant? I though that's where we were going to go.	I'm sorry, I forgot about that--let's go there!	I'm not really that hungry anymore.	I'm not either.	Maybe we could just hang out at the park for a little while.
test	chain2_902_986_1146_880_683_704	Can I get a ride?	Sure, get in.	Can you drop me off at the store?	WHAT DO YOU NEED TO BUY?	Milk and bread. It's going to snow you know.	You should get cheese and wine, that's much more fun.
test	chain3_242_108_214_13_28_50	Do you like orchids?	Yes they are very elegant flowers.	Do you grow them yourself?	I try to, sometimes.	I've tried too, but they always die on me.	They are very tricky to grow.
test	chain2_668_170_556_1275_837_851	How many people have this disease?	15% of the population.	How many will die?	I estimate 10% of the people that get the disease will die.	How many will eventually survive?	it would be less than 5%
test	chain2_1607_855_573_1291_45_355	I have arrived, where are you?	I am next to the bar.	Which end of the bar?	Over by the drunk blonde.	He does seem a bit tipsy, doesn't he?	Maybe , he shouldn't be served any more.
test	chain3_384_398_388_352_262_119	When did you start playing video games?	When my mum got me a Mega Drive for Christmas.	You have a great mom.	yeah, she has a great kid too!	And that kid is so modest!	Yes, that's one of my best qualities -- one of many.
test	chain2_251_245_89_507_660_544	Where is the nearest splash pad?	Just across the street.	Thanks!  I can't wait to go get cooled off.	It is horribly humid today, isn't it.	It sure is	Don't take this the wrong way, but aren't you a little old to go to a splash pad by yourself?
test	chain3_362_356_313_214_19_32	Can we go to the grocery store after the doctor?	That's a great idea, because we need bread.	what else do we need to get?	we also need to get something for dinner.	What are we having?	I found a new recipe to try out, Stuffed Squid.
test	chain2_201_1362_693_534_616_254	Can I come over?	What time would you want to come over ?	I was thinking around six, right after work?	Make it eight and you got a date.	Please make it before seven	Okay, but I wont have time to cook then.
test	chain3_323_286_199_378_306_211	Did you see me in the crowd?	Yes, it was hard to miss you with your rainbow coloured speedo and pink feather boa!	Haha, I always like to wear something special!	You're one in a million, George!  Hey, how's Elaine doing?	She's alright. Getting real sick of her pushing me around though.	What is going on between you two, George?
test	chain2_1285_256_300_468_401_755	I have sen a beautiful new car outside, is it yours?	Yes, the Altima is mine.	How is the mileage?	It's fantastic and so much better than my old SUV.	I could never go from my SUV to a car, even for better mileage.	its economic.. Saves Fuel..
test	chain2_1687_237_1172_1030_50_182	DO you need to sit?	YES, THANK YOU.	No NEED to yell, woman.	Well when you don't put your hearing aids in I feel a need to yell.	Well I can hear you just fine thanks	That's because you just put them in.
test	chain2_1748_438_723_697_482_768	Does the fur get in the way?	Of course not.	How often do you have to have Pickles groomed?	Once a month	Isn't that kind of expensive?	I see it as an investment, because I like to believe Pickles loves me more when I get her groomed.
test	chain2_842_477_577_1295_173_39	How have you been doing?	Things went very well for me, thanks.	I'm so happy to hear that.	How are you doing? I heard that you have a new job.	I do. I think it's going to be great, but I've only been there a week.	What do you think of it so far?
test	chain2_1972_536_1264_308_412_314	What brand is that?	It's Torrid! I love it.	How much was it?	I can not  remember it  was  affordable though .	Where did you get it?	Macys, nice sale.
test	chain3_414_22_48_96_175_281	Can you get me some washing powder on the way home please?	Yes I will call you to let you know when I pick it up.	Wonderful. I would also like a new corset and some ink bottles for my fountain pen please.	I wouldn't know which to get.	Let me look up pictures and ill send them to you with my size ok?	OK I guess but what a random list.
test	chain2_1513_175_66_369_455_1003	What do you think about this?	Nothing. Absolutely nothing.	You're lying. It is scientifically impossible for people to think nothing.	What about if they are dead?	I don't think they count as people if they are dead.	so a dead person is no longer a person?
test	chain2_451_745_28_176_1048_7	Do you like this song?	Yes, I love the '80s.	What is your favorite song from the 80's?	I can't pick just one!	That is true, there are just too many great hits!	I do love Bon Jovi, though.
test	chain2_1873_138_514_1233_438_940	Will you come with me?	You're coming down from the acid, Steve. You know we can't go to the moon.	Maybe you can't...see ya	Steve! You get down from the balcony ledge right now!	I can fly!!!!!!!!!!WHEEE!!!!!!!!!!!!!!!	Look, Steve!  I saw Chewbacca run off in that direction, let's go catch him!
test	chain3_141_311_247_87_157_257	So where are we heading to?	We are going to Florida.	What part of Florida?	I think the keys sound nice.	We better get some suntan oil on the way down. You know how I burn!	I'm afraid suntan oil won't keep you from burning, better get sunscreen.
test	chain2_96_961_740_783_1080_1092	What time is it?	It's 10 AM.	We are late for the movies.	Oh no, I can't believe it!	Do you want to see another one?	Yeah, I am OK with seeing a different movie. I'm flexible!
test	chain2_1517_239_641_286_1165_54	What is your phone number?	I'll give it to you later.	That's smart, shouldn't give your number to strangers.	Just kidding, I'll give it now.	Thanks. I'll call.	Looking forward to it!
test	chain3_295_218_39_80_145_240	Have you ever had a a mango?	Yes, it's one of my favorite fruits.	Aren't they delicious!	they really are- wonderful in smoothies.	They are also great candied and dried.	The first mango I ever ate was in Haiti, right off a tree!
test	chain2_901_726_1356_800_1076_110	Are there any more peanuts?	Yes, in the pantry.	I looked in there five times and I can't find them.	Check behind the big box of oatmeal, second shelf, on the right.	You must have hidden them yourself.	Of course I did. I love peanuts!
test	chain2_327_1154_1061_420_702_689	Is the mail here?	No, the mail is not delivered until after noon.	That's not what I asked you dolt.	Screw you, jerk.	Love you too	Go fuck yourself.
test	chain2_1247_1111_1057_396_1113_272	Can you go out and play with my dog?	As long as he doesn't bite me.	He won't, he's friendly.	Are you sure?	He only bit the mailman.  You are not in a uniform.	okay its fine then
test	chain2_269_1123_16_86_864_587	How old are you?	I just turned 32.	That's great.  Happy belated birthday!	Thanks.  It was a horrible birthday.  No one remembered it.	well you're a horrible person so makes sense.	And you are a douche
test	chain2_2067_829_190_1117_425_1037	What is today's lunch special?	A sandwich with cheese and salad.	I'd like that, please.	Coming right up!	Can I have a side of ranch, please?	okay sure anything you want.
test	chain3_288_204_9_29_59_101	Want to head to the new restaurant for dinner?	That sounds great to me.	Awesome. Where would you like to go?	You just suggested the new restaurant.  Now you are asking where I want to go again... Maybe we should try and get you that doctor's appointment we discussed to check out your memory.	Or maybe I should just quit smoking so much pot.	Oh yeah, I forgot I'm a pothead, too...
test	chain2_431_1021_754_865_533_290	Do you have a pen?	Yes, here you go	Thanks, appreciate it.	No problem, please return it when you're done.	Sure i will	That's what you said last time...
test	chain2_1388_357_564_1282_1084_157	What is the weather like outside?	Hot and Humid	Cool!  That's the way I love it!	Seriously, are you insane?	Yes, that means it's a great day for the beach.	Ugh, it's too hot for me.
test	chain2_1277_226_181_1083_766_485	This puzzle is hard, can you help me?	I will help you when I have finished my work.	Can you at least move your computer so I can get to my corner pieces?	Just let me finish this email to Elisa.	Please, I need to do this now.	What is so important about this puzzle that it can't wait for five minutes?
test	chain2_1162_789_1150_904_922_119	Where are you from?	I'm from the south	Which state? I'm from Georgia.	Really? I'm from Duluth, a suburb just northeast of Atlanta.	Cool! My aunt lives in Duluth.	WHat part of Georgia are you from?
test	chain2_861_740_702_576_206_1056	Now I can communicate with you, what's for dinner?	Meatloaf and mashed potatoes.	Sounds nice, I look forward to it.	Why don't you bring some wine to drink?	Good idea. I'll do that.	Wine is always a great idea, isn't it?
test	chain3_164_349_300_191_330_260	What genre of music do you like best?	I prefer hard rock..	Do you like the 80s classics, or some of the newer stuff?	I like some of the newer, more modern type hard rock.	Yeah, that stuff is okay, I guess. I'm all about the 80's though, myself.	Well, because you're older than me.
test	chain2_1785_1196_977_1124_120_383	Does this make me look fat?	To be honest, it sure does not make you look slim.	I knew it!  You think I'm fat!	No, that's honestly not what I meant!	What exactly did you mean then?	I didn't say you were fat but don't ask the question if you don't want to hear an honest answer.
test	chain2_168_939_494_1215_1043_497	What are the side effects and contraindications of this medicine?	I am not sure, you may want to ask the doctor or pharmacist.	What's his number?	The doctor's number is posted right next to the phone.	Thanks. Could you call him for me?	Sure. Anything else you need for me to do?
test	chain3_19_81_160_310_184_290	How's your day going?	It is fine up to now.	What made it change?	You really need everything spelled out for you, don't you?	You really are a pleasure.	I think you're being sarcastic.
test	chain2_1390_44_19_98_874_1113	What did the doctor say?	It is all good. I am going to get well soon.	Oh, praise the Lord for prayers answered!	I was so relieved to hear the good news.	I was confident you were going to be OK.	Thank you for that confidence?
test	chain3_329_297_218_20_40_69	What are your plans this summer?	I'm going to unpack my house.	Would you like some help?	That would be awesome, thank you!	Hey no problem at all. It's pay back for when you helped me move.	You're a good friend.
test	chain2_1082_1494_431_1097_15_567	Will this hurt, doctor?	not at all	Are you sure?	Need some one to  hold your   hand ?	No, I think I'll be ok.	It will be fine.
test	chain2_527_125_593_1309_571_700	Can we go for a walk?	Yes! Let's do it!	Which dog do you want?	I want to go for a walk with Mido, if you don't mind. He's my favorite dog.	Sure, you take Mido and I'll take Taco. Those dogs love to go for walks.	Yeah, they sure do.
test	chain2_1488_36_342_665_259_639	When does the baseball game start today?	The baseball game starts at 4PM today.	That will be the perfect time to play!  Not too hot!	No it will be hot.	Oh that's a bummer.	Yeah, sorry, but I thought you should know so you wouldn't be surprised when we get there.
test	chain3_345_326_263_119_225_51	Does it bother you if I sing while I work?	Not if you do it quietly.	I think I can manage that.	Like I managed your momma last night?	Hopefully you managed her has good has I managed yours.	Oh snap. We're both idiots, aren't we?
test	chain2_1369_658_461_1184_765_489	Who dinged the car?	Some jerk in the parking lot	I hope you didn't call him that.	No, I called him far worse, actually.	How much do you owe the cuss jar?	None of your goddamn business, Grammy.
test	chain2_719_1425_501_1220_153_235	How was your night?	IT WAS REALLY NICE.	What did you do?	Went out to eat at my favorite restaurant followed by going to the movies.	What did you eat there?	I had one of their nightly pasta specials.  It was zucchini substituted for pasta, I really liked it and I didn't feel as stuffed.
test	chain2_471_1050_332_606_491_107	Can you please get me something?	No. Go eat a spoon.	Last time I ate a spoon I got a interesting x-ray as a ice breaker.	Your sarcasm is very subtle.	Unlike my hunger	There's bologna in the fridge and pizza rolls in the freezer, you're capable of making your own lunch.
test	chain2_1994_154_40_235_1005_898	Did you start the new job?	Yes, I started last Wednesday.	How are you finding it?	A little challenging, but fun.	Do they have any other positions open? Maybe I should apply.	Sorry, all the positions are filled now.
test	chain2_161_741_1305_537_268_790	Is she from America?	Yes, she is from Washington D.C.	Oh, I would have never guessed.	What is that supposed to mean?	She looks like she is from another country based on the way she dresses.	You should never judge a person by their cover or even how they're dressed. Just because someone may look like a she is from another Country does not mean she was born here or lives here. Maybe she is dressed that way because she supports her heritage or culture.
test	chain2_456_68_519_1238_280_210	Can you give me a ride?	YES, WHERE ARE YOU GOING?	I need to go to the grocery store.	Okay, get some eggs.	You want me to get you some eggs?	Yes, if you'd like me to make brownies I need some eggs.
test	chain2_1061_1490_104_610_1014_729	What would you like to drink?	A Brandy Alexander please.	I've never heard of that, can you tell me what's in it?	Nevermind just a rum and Coke.	Now that one I can make.	On the rocks, please.
test	chain3_44_142_289_174_316_231	Shall we have some snacks now ?	Depends - do we have any pretzels?	Yes, but they are covered in peanut butter.	That's fine by me.	I'll go get them. Back in a flash.	Will you grab the water bottle too?
test	chain3_208_14_27_61_112_191	DO YOU HAVE ANY PETS?	Yes, I collect ferrets.	Oh, well ferrets are pretty cool. I'll stop yelling now.	Thank you, that is greatly appreciated. I can't imagine anyone doing this work right now appreciates that one guy who keeps yelling.	I am so sorry I keep yelling. I don't know how to turn my caps lock off.	It looks like you solved your problem.
test	chain2_823_1282_231_138_1099_946	Will you take me?	if you pay for petrol	I don't have a problem with that.	Then I can go as far as you need to go and as long as we are back on Sunday night.	Thanks! I really need to make this trip. Is there anywhere you would like to stop on the way?	Yes, I have a friend who lives near the place you want to reach. It will just take a while.
test	chain2_1913_737_924_793_1054_369	Could you please ask the nurse to help me?	Yes, I will go and bring her.	Thank you, and please let the nurse know about my symptoms.	Yes, I'll tell her you're feeling nauseous as well as dizzy.	I appreciate your help dear	One last thing before you go, ask her if I could have a bite to eat or maybe some orange juice. Perhaps that would help me a bit.
test	chain3_197_413_52_106_198_304	Water is to fish as land is to _________?	Stegasauruses.  But why on earth are you asking me this?	I was trying to teach you something.	Teach me what?	How to spell Stegasauruses correctly.	That's a little bizarre, but I can spell Stegasauruses now.
